ticker_symbol,company_name,clean_companies,tickers_lower
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,archcapitalgroupltddepositaryshareseachrepresenting11000thinterestinashareof545noncumulativepreferredsharesseriesf,acglo
ACH,Aluminum Corporation of China Limited American Depositary Shares,aluminumcorporationofchinalimitedamericandepositaryshares,ach
ACHC,Acadia Healthcare Company Inc. Common Stock,acadiahealthcarecompanyinccommonstock,achc
ACHL,Achilles Therapeutics plc American Depositary Shares,achillestherapeuticsplcamericandepositaryshares,achl
ACHR,Archer Aviation Inc. Class A Common Stock,archeraviationincclassacommonstock,achr
ACHV,Achieve Life Sciences Inc. Common Shares,achievelifesciencesinccommonshares,achv
ACI,Albertsons Companies Inc. Class A Common Stock,albertsonscompaniesincclassacommonstock,aci
ACII,Atlas Crest Investment Corp. II Class A Common Stock,atlascrestinvestmentcorpiiclassacommonstock,acii
ACIU,AC Immune SA Common Stock,acimmunesacommonstock,aciu
ACIW,ACI Worldwide Inc. Common Stock,aciworldwideinccommonstock,aciw
ACKIT,Ackrell SPAC Partners I Co. Subunits,ackrellspacpartnersicosubunits,ackit
ACKIU,Ackrell SPAC Partners I Co. Units,ackrellspacpartnersicounits,ackiu
ACKIW,Ackrell SPAC Partners I Co. Warrants,ackrellspacpartnersicowarrants,ackiw
ACLS,Axcelis Technologies Inc. Common Stock,axcelistechnologiesinccommonstock,acls
ACLX,Arcellx Inc. Common Stock,arcellxinccommonstock,aclx
ACM,AECOM Common Stock,aecomcommonstock,acm
ACMR,ACM Research Inc. Class A Common Stock,acmresearchincclassacommonstock,acmr
ACN,Accenture plc Class A Ordinary Shares (Ireland),accentureplcclassaordinarysharesireland,acn
ACNB,ACNB Corporation Common Stock,acnbcorporationcommonstock,acnb
ACNT,Ascent Industries Co. Common Stock,ascentindustriescocommonstock,acnt
ACON,Aclarion Inc. Common Stock,aclarioninccommonstock,acon
ACONW,Aclarion Inc. Warrant,aclarionincwarrant,aconw
ACOR,Acorda Therapeutics Inc. Common Stock,acordatherapeuticsinccommonstock,acor
ACP,abrdn Income Credit Strategies Fund Common Shares,abrdnincomecreditstrategiesfundcommonshares,acp
ACQR,Independence Holdings Corp. Class A Ordinary Share,independenceholdingscorpclassaordinaryshare,acqr
ACQRU,Independence Holdings Corp. Units,independenceholdingscorpunits,acqru
ACQRW,Independence Holdings Corp. Warrant,independenceholdingscorpwarrant,acqrw
ACR,ACRES Commercial Realty Corp. Common Stock,acrescommercialrealtycorpcommonstock,acr
ACRE,Ares Commercial Real Estate Corporation Common Stock,arescommercialrealestatecorporationcommonstock,acre
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,acropolisinfrastructureacquisitioncorpclassacommonstock,acro
ACRS,Aclaris Therapeutics Inc. Common Stock,aclaristherapeuticsinccommonstock,acrs
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,acelrxpharmaceuticalsinccommonstock,acrx
ACST,Acasti Pharma Inc. Class A Common Stock,acastipharmaincclassacommonstock,acst
ACT,Enact Holdings Inc. Common Stock,enactholdingsinccommonstock,act
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,acaciaresearchcorporationacaciatechcommonstock,actg
ACU,Acme United Corporation. Common Stock,acmeunitedcorporationcommonstock,acu
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,virtusdiversifiedincomeconvertiblefundcommonsharesofbeneficialinterest,acv
ACVA,ACV Auctions Inc. Class A Common Stock,acvauctionsincclassacommonstock,acva
ACXP,Acurx Pharmaceuticals Inc. Common Stock,acurxpharmaceuticalsinccommonstock,acxp
ADAG,Adagene Inc. American Depositary Shares,adageneincamericandepositaryshares,adag
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,anthemisdigitalacquisitionsicorpclassaordinaryshares,adal
ADALU,Anthemis Digital Acquisitions I Corp Unit,anthemisdigitalacquisitionsicorpunit,adalu
ADALW,Anthemis Digital Acquisitions I Corp Warrant,anthemisdigitalacquisitionsicorpwarrant,adalw
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,adaptimmunetherapeuticsplcamericandepositaryshares,adap
ADBE,Adobe Inc. Common Stock,adobeinccommonstock,adbe
ADC,Agree Realty Corporation Common Stock,agreerealtycorporationcommonstock,adc
ADCT,ADC Therapeutics SA Common Shares,adctherapeuticssacommonshares,adct
ADER,26 Capital Acquisition Corp. Class A Common Stock,26capitalacquisitioncorpclassacommonstock,ader
ADERW,26 Capital Acquisition Corp. Warrant,26capitalacquisitioncorpwarrant,aderw
ADES,Advanced Emissions Solutions Inc. Common Stock,advancedemissionssolutionsinccommonstock,ades
ADEX,Adit EdTech Acquisition Corp. Common Stock,aditedtechacquisitioncorpcommonstock,adex
ADGI,Adagio Therapeutics Inc. Common Stock,adagiotherapeuticsinccommonstock,adgi
ADI,Analog Devices Inc. Common Stock,analogdevicesinccommonstock,adi
ADIL,Adial Pharmaceuticals Inc Common Stock,adialpharmaceuticalsinccommonstock,adil
ADILW,Adial Pharmaceuticals Inc Warrant,adialpharmaceuticalsincwarrant,adilw
ADM,Archer-Daniels-Midland Company Common Stock,archerdanielsmidlandcompanycommonstock,adm
ADMA,ADMA Biologics Inc Common Stock,admabiologicsinccommonstock,adma
ADMP,Adamis Pharmaceuticals Corporation Common Stock,adamispharmaceuticalscorporationcommonstock,admp
ADN,Advent Technologies Holdings Inc. Class A Common Stock,adventtechnologiesholdingsincclassacommonstock,adn
ADNT,Adient plc Ordinary Shares,adientplcordinaryshares,adnt
ADNWW,Advent Technologies Holdings Inc. Warrant,adventtechnologiesholdingsincwarrant,adnww
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,edocacquisitioncorpclassaordinaryshare,adoc
ADOCW,Edoc Acquisition Corp. Warrant,edocacquisitioncorpwarrant,adocw
ADP,Automatic Data Processing Inc. Common Stock,automaticdataprocessinginccommonstock,adp
ADPT,Adaptive Biotechnologies Corporation Common Stock,adaptivebiotechnologiescorporationcommonstock,adpt
ADRA,Adara Acquisition Corp. Class A Common Stock,adaraacquisitioncorpclassacommonstock,adra
ADRT,Ault Disruptive Technologies Corporation Common Stock,aultdisruptivetechnologiescorporationcommonstock,adrt
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,adstecenergyplcordinaryshares,adse
ADSEW,ADS-TEC ENERGY PLC Warrant,adstecenergyplcwarrant,adsew
ADSK,Autodesk Inc. Common Stock,autodeskinccommonstock,adsk
ADT,ADT Inc. Common Stock,adtinccommonstock,adt
ADTH,AdTheorent Holding Company Inc. Common Stock,adtheorentholdingcompanyinccommonstock,adth
ADTHW,AdTheorent Holding Company Inc. Warrants,adtheorentholdingcompanyincwarrants,adthw
ADTN,ADTRAN Holdings Inc. Common Stock,adtranholdingsinccommonstock,adtn
ADTX,Aditxt Inc. Common Stock,aditxtinccommonstock,adtx
ADUS,Addus HomeCare Corporation Common Stock,addushomecarecorporationcommonstock,adus
ADV,Advantage Solutions Inc. Class A Common Stock,advantagesolutionsincclassacommonstock,adv
ADVM,Adverum Biotechnologies Inc. Common Stock,adverumbiotechnologiesinccommonstock,advm
ADVWW,Advantage Solutions Inc. Warrant,advantagesolutionsincwarrant,advww
ADX,Adams Diversified Equity Fund Inc.,adamsdiversifiedequityfundinc,adx
ADXN,Addex Therapeutics Ltd American Depositary Shares,addextherapeuticsltdamericandepositaryshares,adxn
AE,Adams Resources & Energy Inc. Common Stock,adamsresourcesenergyinccommonstock,ae
