senators,stocks,buy/sell,date
Thomas Carper,HDGE,bought,2022-11-14
Thomas Carper,HDGE,bought,2022-11-14
Thomas Carper,PSQ,sold,2022-11-14
Thomas Carper,HDGE,bought,2022-11-14
Thomas Carper,HDGE,bought,2022-11-14
Thomas Carper,PSQ,sold,2022-11-14
Thomas Carper,PSQ,sold,2022-11-14
Thomas Carper,SH,sold,2022-11-14
Thomas Carper,HDGE,bought,2022-11-14
Thomas Carper,PSQ,sold,2022-11-14
Thomas Carper,HQL,sold,2022-11-14
Thomas Carper,INVALID STOCK,sold,2022-11-14
Thomas Carper,NID,sold,2022-11-14
Thomas Carper,SBIO,sold,2022-11-14
Dan Sullivan,INVALID STOCK,sold,2022-11-14
Dan Sullivan,FIVE,sold,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Michael Bennet,INVALID STOCK,bought,2022-11-14
Tina Smith,AORT,bought,2022-11-14
Tommy Tuberville,MSFT,sold,2022-11-14
Tommy Tuberville,X,sold,2022-11-14
Tommy Tuberville,X,bought,2022-11-14
Tommy Tuberville,MSFT,bought,2022-11-14
Tommy Tuberville,ARKK,bought,2022-11-14
Tommy Tuberville,F,sold,2022-11-14
Tommy Tuberville,F,bought,2022-11-14
Tommy Tuberville,F,bought,2022-11-14
Tommy Tuberville,ECOM,sold,2022-11-14
Tommy Tuberville,ARKK,bought,2022-11-14
Tommy Tuberville,NU,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Thomas Carper,SH,sold,2022-11-14
Thomas Carper,SH,sold,2022-11-14
Thomas Carper,SH,sold,2022-11-14
Thomas Carper,INVALID STOCK,sold,2022-11-14
Thomas Carper,SQM,sold,2022-11-14
Mitch McConnell,WFC,bought,2022-11-14
Susan Collins,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,IVV,sold,2022-11-14
Tommy Tuberville,EFAV,sold,2022-11-14
Tommy Tuberville,XLY,sold,2022-11-14
Tommy Tuberville,VTRS,sold,2022-11-14
Tommy Tuberville,Bond,bought,2022-11-14
Tommy Tuberville,RSP,bought,2022-11-14
Tommy Tuberville,IDV,bought,2022-11-14
Tommy Tuberville,DHS,bought,2022-11-14
Tommy Tuberville,Bond,sold,2022-11-14
Tommy Tuberville,Bond,sold,2022-11-14
Tommy Tuberville,ORCL,sold,2022-11-14
Tommy Tuberville,XLC,sold,2022-11-14
Tommy Tuberville,TSCO,sold,2022-11-14
Tommy Tuberville,Bond,bought,2022-11-14
Tommy Tuberville,OC,bought,2022-11-14
Tommy Tuberville,SSYS,sold,2022-11-14
Tommy Tuberville,ARKK,bought,2022-11-14
Tommy Tuberville,MRO,bought,2022-11-14
Tommy Tuberville,X,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INTC,bought,2022-11-14
Tommy Tuberville,INTC,bought,2022-11-14
Tommy Tuberville,CLF,sold,2022-11-14
Tommy Tuberville,PYPL,sold,2022-11-14
